title,star,review,date,help,,
Satisfied,4.0 out of 5 stars,It's aroma is too good I love it,Reviewed in India on 23 February 2023,,,
Good,4.0 out of 5 stars,"I m writing this review after using 5 days of FE face wash..After a lot of confusion I bought this as its vry expensive ..50ml for 350 rs..But the face wash is good..Fragrance is osm different from othr face wash. It has all the natural properties which is good for sensitive skin..Good for oily skin as after washing, skin will look oil free and fresh for atlst 2 to 3 hrs. But disappointed with amazon as packaging was pathetic . box was open from both the ends and the cap was defective ..As it was manageable tats y i did not return it. Will buy this Face wash agn...",Reviewed in India on 8 September 2022,9 people found this helpful,,
Excellent Product,4.0 out of 5 stars,It keeps skin hydrated,Reviewed in India on 10 September 2022,3 people found this helpful,,
"Best one I've used, for sensitive skin",4.0 out of 5 stars,Great,Reviewed in India on 7 September 2022,3 people found this helpful,,
Best for sensitive skin,5.0 out of 5 stars,Mild cleanser and doesn't strip akin of natural oils,Reviewed in India on 18 November 2022,One person found this helpful,,
Product this good for sensitive skin. It's scent is awasome I just loved it.,4.0 out of 5 stars,It is suitable for sensitive skin,Reviewed in India on 11 August 2022,,,
Increased price shown,3.0 out of 5 stars,"Increased price shown then give discount, which basically give product at MRP.Very cheap marketing and promotion",Reviewed in India on 31 August 2022,,,
Nice product,5.0 out of 5 stars,Massage it softly on face,Reviewed in India on 29 September 2022,,,
Good quality,5.0 out of 5 stars,Very useful product,Reviewed in India on 25 September 2022,,,
Looks more like fake product,3.0 out of 5 stars,"I have previously purshased from Forest essentials store, the color is lighter and facewash density was thicker. This looks like some third party is adding water and selling it. Also so many bubbles could be seen, definately water added to the product",Reviewed in India on 8 June 2022,2 people found this helpful,,
Satisfied,4.0 out of 5 stars,It's aroma is too good I love it,Reviewed in India on 23 February 2023,,,
Good,4.0 out of 5 stars,"I m writing this review after using 5 days of FE face wash..After a lot of confusion I bought this as its vry expensive ..50ml for 350 rs..But the face wash is good..Fragrance is osm different from othr face wash. It has all the natural properties which is good for sensitive skin..Good for oily skin as after washing, skin will look oil free and fresh for atlst 2 to 3 hrs. But disappointed with amazon as packaging was pathetic . box was open from both the ends and the cap was defective ..As it was manageable tats y i did not return it. Will buy this Face wash agn...",Reviewed in India on 8 September 2022,9 people found this helpful,,
Excellent Product,4.0 out of 5 stars,It keeps skin hydrated,Reviewed in India on 10 September 2022,3 people found this helpful,,
"Best one I've used, for sensitive skin",4.0 out of 5 stars,Great,Reviewed in India on 7 September 2022,3 people found this helpful,,
Best for sensitive skin,5.0 out of 5 stars,Mild cleanser and doesn't strip akin of natural oils,Reviewed in India on 18 November 2022,One person found this helpful,,
